specification,horizon_years,return_basis,asset,n,median,mean,minimum,maximum,negative_pct
original_expanding_recomputed,5,real,Other minus MKT,8,-12.59650722,-14.33432478,-55.73241535,16.83282874,87.5
original_expanding_recomputed,5,real,Shops minus MKT,8,19.79628963,19.68169298,-14.72451983,53.348729,25
original_expanding_recomputed,5,real,Telcm minus MKT,8,-17.905021,-15.62221267,-72.07704006,39.76008458,75
original_expanding_recomputed,5,real,Utils minus MKT,8,-4.719168153,0.7141492495,-14.12782029,24.04909997,62.5
review_expanding_recomputed,1,nominal,MKT,8,6.723863793,3.231954352,-25.74785023,29.26251291,25
review_expanding_recomputed,1,nominal,CASH,8,3.711566325,4.318476695,0.020001,8.396589727,0
review_expanding_recomputed,1,nominal,NoDur,8,6.832919572,9.38406567,-16.97948005,38.66388219,12.5
review_expanding_recomputed,1,nominal,Durbl,8,-11.9938802,-7.44418022,-19.64496786,10.12728856,62.5
review_expanding_recomputed,1,nominal,Manuf,8,0.09382237175,4.921213622,-7.760884019,23.88795374,50
review_expanding_recomputed,1,nominal,Enrgy,8,4.437548466,7.178072919,-8.663898424,31.88102738,25
review_expanding_recomputed,1,nominal,Chems,8,3.363991002,5.336757054,-8.485224224,32.50009466,37.5
review_expanding_recomputed,1,nominal,BusEq,8,8.617061267,-1.700344028,-60.48707149,19.14767962,25
review_expanding_recomputed,1,nominal,Telcm,8,1.99295708,4.405141461,-41.80587342,51.71439434,50
review_expanding_recomputed,1,nominal,Utils,8,8.621571216,8.94773857,-21.04402492,39.45824456,25
review_expanding_recomputed,1,nominal,Shops,8,12.61350856,7.488123309,-16.20830197,25.3045632,37.5
review_expanding_recomputed,1,nominal,Hlth,8,9.560250498,13.16416647,-12.73380452,45.86580534,12.5
review_expanding_recomputed,1,nominal,Money,8,2.535007264,6.595395738,-10.14292091,30.32134046,37.5
review_expanding_recomputed,1,nominal,Other,8,2.656247629,2.309009263,-15.63968399,33.2014207,37.5
review_expanding_recomputed,1,nominal,BusEq minus MKT,8,1.858272122,-4.932298379,-34.73922126,18.72417807,37.5
review_expanding_recomputed,1,nominal,Chems minus MKT,8,0.8130243246,2.104802702,-12.36259497,23.90715286,50
review_expanding_recomputed,1,nominal,Durbl minus MKT,8,-14.18505106,-10.67613457,-24.46669545,16.10046781,75
review_expanding_recomputed,1,nominal,Enrgy minus MKT,8,3.215348619,3.946118567,-13.92639009,36.03949671,37.5
review_expanding_recomputed,1,nominal,Hlth minus MKT,8,10.03624266,9.932212115,-5.005720269,33.11575493,12.5
review_expanding_recomputed,1,nominal,Manuf minus MKT,8,3.14494894,1.689259271,-10.54297712,17.98696621,37.5
review_expanding_recomputed,1,nominal,Money minus MKT,8,-0.09957529333,3.363441386,-8.651931921,38.04321288,50
review_expanding_recomputed,1,nominal,NoDur minus MKT,8,2.363430543,6.152111318,-9.639501837,44.90417318,37.5
review_expanding_recomputed,1,nominal,Other minus MKT,8,-1.197051215,-0.9229450885,-9.318134059,10.10816624,75
review_expanding_recomputed,1,nominal,Shops minus MKT,8,2.26245352,4.256168957,-7.620237688,16.34896507,50
review_expanding_recomputed,1,nominal,Telcm minus MKT,8,-1.247179982,1.173187109,-16.05802319,22.45188143,50
review_expanding_recomputed,1,nominal,Utils minus MKT,8,-2.217726883,5.715784218,-10.47658026,65.20609479,75
review_expanding_recomputed,1,real,MKT,8,4.571168222,-0.2872881585,-27.8982532,23.51294919,37.5
review_expanding_recomputed,1,real,CASH,8,0.5822801555,0.631305039,-2.1823314,3.575136967,37.5
review_expanding_recomputed,1,real,NoDur,8,4.13612657,5.72013182,-24.57387273,32.49614796,37.5
review_expanding_recomputed,1,real,Durbl,8,-14.38869355,-10.6100156,-26.99553213,8.174429737,75
review_expanding_recomputed,1,real,Manuf,8,-1.889907901,1.296298513,-15.86989087,19.7935096,50
review_expanding_recomputed,1,real,Enrgy,8,1.843344656,3.468251352,-17.01896801,26.0149928,37.5
review_expanding_recomputed,1,real,Chems,8,0.7495661974,1.712110853,-16.85663822,26.60652413,50
review_expanding_recomputed,1,real,BusEq,8,6.893351899,-4.947860184,-61.63139821,16.12524182,37.5
review_expanding_recomputed,1,real,Telcm,8,-0.6341928416,0.7829380646,-43.49122291,44.96617664,50
review_expanding_recomputed,1,real,Utils,8,5.840151964,5.338913925,-28.26660892,35.41941976,37.5
review_expanding_recomputed,1,real,Shops,8,9.754051766,3.9137999,-23.87323901,20.68348823,37.5
review_expanding_recomputed,1,real,Hlth,8,6.775144748,9.366237532,-20.716575,39.37773139,12.5
review_expanding_recomputed,1,real,Money,8,0.5640813777,2.924033093,-18.3626953,24.52468036,50
review_expanding_recomputed,1,real,Other,8,0.6895674852,-1.193471388,-22.80996744,27.27665537,37.5
review_expanding_recomputed,1,real,BusEq minus MKT,8,1.802695879,-4.660572026,-33.733145,18.24919892,37.5
review_expanding_recomputed,1,real,Chems minus MKT,8,0.7553093685,1.999399012,-11.95401647,23.21478216,50
review_expanding_recomputed,1,real,Durbl minus MKT,8,-13.77295231,-10.32272745,-24.12472471,15.63418509,75
review_expanding_recomputed,1,real,Enrgy minus MKT,8,3.108761072,3.75553951,-13.73174108,34.99576341,37.5
review_expanding_recomputed,1,real,Hlth minus MKT,8,9.845581127,9.653525691,-4.840283345,32.15669559,12.5
review_expanding_recomputed,1,real,Manuf minus MKT,8,3.080601156,1.583586672,-10.28663094,17.46604896,37.5
review_expanding_recomputed,1,real,Money minus MKT,8,-0.1071678196,3.211321252,-8.498509442,36.94145033,50
review_expanding_recomputed,1,real,NoDur minus MKT,8,2.313414102,6.007419979,-9.320920404,43.60371161,37.5
review_expanding_recomputed,1,real,Other minus MKT,8,-1.106108471,-0.9061832295,-9.081759497,9.815425482,75
review_expanding_recomputed,1,real,Shops minus MKT,8,2.235999234,4.201088058,-7.426933928,15.95144976,50
review_expanding_recomputed,1,real,Telcm minus MKT,8,-1.213222729,1.070226223,-15.59296971,21.45322745,50
review_expanding_recomputed,1,real,Utils minus MKT,8,-2.134690577,5.626202084,-10.21081922,63.31767297,75
review_expanding_recomputed,3,nominal,MKT,8,34.83270399,29.1586178,-42.31665497,70.86027007,12.5
review_expanding_recomputed,3,nominal,CASH,8,13.04696638,12.77559645,0.0700210035,23.72003824,0
review_expanding_recomputed,3,nominal,NoDur,8,34.32222712,37.74590811,4.753925526,87.48943458,0
review_expanding_recomputed,3,nominal,Durbl,8,17.44809812,17.9277779,-32.21651008,78.12686692,37.5
review_expanding_recomputed,3,nominal,Manuf,8,40.58868397,34.70190852,-22.54921464,78.96869097,12.5
review_expanding_recomputed,3,nominal,Enrgy,8,27.63608898,24.98457767,-52.57651156,69.25999385,25
review_expanding_recomputed,3,nominal,Chems,8,31.83255937,36.80104319,9.168643579,88.18815646,0
review_expanding_recomputed,3,nominal,BusEq,8,38.45952051,41.16154156,-75.6364693,133.5428978,25
review_expanding_recomputed,3,nominal,Telcm,8,27.35181049,18.56813206,-69.18357248,85.56783331,25
review_expanding_recomputed,3,nominal,Utils,8,20.169261,25.27464075,-1.425086347,56.52081323,12.5
review_expanding_recomputed,3,nominal,Shops,8,25.63995385,31.07247257,-24.93904259,80.66273047,12.5
review_expanding_recomputed,3,nominal,Hlth,8,51.99592726,53.07658021,-20.57499113,141.5461218,25
review_expanding_recomputed,3,nominal,Money,8,12.16072499,26.91745635,-7.506967559,102.8785013,37.5
review_expanding_recomputed,3,nominal,Other,8,25.9835698,25.34241885,-38.52257592,75.49084826,12.5
review_expanding_recomputed,3,nominal,BusEq minus MKT,8,-0.9943195453,12.00292376,-33.31981433,64.78990813,50
review_expanding_recomputed,3,nominal,Chems minus MKT,8,9.161885861,7.642425389,-22.02936887,51.48529855,37.5
review_expanding_recomputed,3,nominal,Durbl minus MKT,8,-6.077559198,-11.2308399,-60.91599551,41.66807568,62.5
review_expanding_recomputed,3,nominal,Enrgy minus MKT,8,-4.222145931,-4.174040135,-89.0353028,49.44226599,62.5
review_expanding_recomputed,3,nominal,Hlth minus MKT,8,32.39044069,23.91796241,-26.85692781,91.67581923,37.5
review_expanding_recomputed,3,nominal,Manuf minus MKT,8,7.773789108,5.543290719,-27.40180783,29.70061284,37.5
review_expanding_recomputed,3,nominal,Money minus MKT,8,-13.10125654,-2.24116145,-32.93034916,41.3694056,62.5
review_expanding_recomputed,3,nominal,NoDur minus MKT,8,3.115245633,8.587290311,-29.24530405,53.94677286,37.5
review_expanding_recomputed,3,nominal,Other minus MKT,8,-4.589192656,-3.816198953,-34.73704087,42.28423151,62.5
review_expanding_recomputed,3,nominal,Shops minus MKT,8,0.2192547577,1.913854768,-42.12740355,44.20393923,50
review_expanding_recomputed,3,nominal,Telcm minus MKT,8,-9.092129374,-10.59048574,-43.99215268,26.47788107,75
review_expanding_recomputed,3,nominal,Utils minus MKT,8,-3.914558242,-3.883977054,-44.55764328,40.89156863,50
review_expanding_recomputed,3,real,MKT,8,26.49779571,17.10317421,-46.36295813,57.18714197,25
review_expanding_recomputed,3,real,CASH,8,2.510569581,1.641483067,-5.029590211,8.008132076,37.5
review_expanding_recomputed,3,real,NoDur,8,23.18540512,24.73090131,-18.40023983,63.67909274,12.5
review_expanding_recomputed,3,real,Durbl,8,0.385018861,7.21139335,-36.97130627,68.75724277,50
review_expanding_recomputed,3,real,Manuf,8,25.05293854,22.05536257,-27.98214086,64.64668483,25
review_expanding_recomputed,3,real,Enrgy,8,19.87460781,12.63780694,-55.07102724,54.42443684,37.5
review_expanding_recomputed,3,real,Chems,8,22.0102973,23.82776764,-7.920250782,73.1283607,12.5
review_expanding_recomputed,3,real,BusEq,8,28.727541,28.67942565,-77.34549348,114.8535796,25
review_expanding_recomputed,3,real,Telcm,8,12.20338744,6.989231728,-71.34524684,76.11121689,25
review_expanding_recomputed,3,real,Utils,8,12.11637185,13.26036704,-13.82376856,39.4269991,37.5
review_expanding_recomputed,3,real,Shops,8,16.12281987,19.01635874,-30.20432997,71.15971775,37.5
review_expanding_recomputed,3,real,Hlth,8,42.4045078,39.24849405,-38.13060807,110.870816,25
review_expanding_recomputed,3,real,Money,8,5.134180122,15.36752726,-27.95106029,86.64310765,50
