window,specification,sample,month,cape_pct,credit_pct
matched_screen,unconditional_same_eligible_months,monthly_pool,1989-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1989-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1989-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1989-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1990-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1990-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1990-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1990-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1990-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1990-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1990-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1990-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1990-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1990-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1990-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1990-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1991-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1991-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1991-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1991-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1991-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1991-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1991-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1991-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1991-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1991-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1991-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1991-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1992-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1992-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1992-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1992-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1992-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1992-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1992-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1992-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1992-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1992-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1992-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1992-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1993-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1993-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1993-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1993-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1993-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1993-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1993-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1993-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1993-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1993-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1993-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1993-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1994-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1994-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1994-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1994-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1994-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1994-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1994-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1994-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1994-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1994-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1994-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1994-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1995-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1995-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1995-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1995-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1995-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1995-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1995-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1995-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1995-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1995-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1995-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1995-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1996-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1996-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1996-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1996-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1996-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1996-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1996-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1996-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1996-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1996-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1996-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1996-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1997-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1997-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1997-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1997-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1997-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1997-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1997-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1997-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1997-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1997-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1997-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1997-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1998-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1998-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1998-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1998-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1998-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1998-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1998-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1998-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1998-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1998-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1998-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1998-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1999-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1999-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1999-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1999-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1999-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1999-06,,
