specification,horizon_years,return_basis,asset,window,sample,n,median,mean,minimum,maximum,negative_pct
full_history_original,1,nominal,Hlth minus MKT,matched_screen,monthly_pool,24,6.528630398,9.147558885,-11.2600811,46.9930867,20.83333333
full_history_original,1,nominal,Manuf minus MKT,matched_screen,monthly_pool,24,-12.31659572,-8.313213596,-20.63833768,24.58387081,87.5
full_history_original,1,nominal,Money minus MKT,matched_screen,monthly_pool,24,-2.357924809,1.725047842,-20.32248434,51.61725408,50
full_history_original,1,nominal,NoDur minus MKT,matched_screen,monthly_pool,24,-11.40334416,-5.331644746,-32.20180452,50.21362541,75
full_history_original,1,nominal,Other minus MKT,matched_screen,monthly_pool,24,-14.1194832,-11.93979609,-21.44367944,11.52282651,87.5
full_history_original,1,nominal,Shops minus MKT,matched_screen,monthly_pool,24,8.694597509,7.547992302,-8.566739819,21.20562868,12.5
full_history_original,1,nominal,Telcm minus MKT,matched_screen,monthly_pool,24,21.98260596,15.92105442,-28.4970099,35.08663305,20.83333333
full_history_original,1,nominal,Utils minus MKT,matched_screen,monthly_pool,24,-4.155171444,3.608417787,-31.60266371,61.96235682,62.5
full_history_original,1,real,MKT,matched_screen,monthly_pool,24,15.72443517,13.53902824,-22.42048856,46.3769603,20.83333333
full_history_original,1,real,CASH,matched_screen,monthly_pool,24,3.033062256,2.114171589,-8.147720827,3.760915784,8.333333333
full_history_original,1,real,NoDur,matched_screen,monthly_pool,24,7.886701972,8.170230038,-9.518918844,34.55995111,37.5
full_history_original,1,real,Durbl,matched_screen,monthly_pool,24,11.76032092,15.26778091,-22.69891976,52.25380877,20.83333333
full_history_original,1,real,Manuf,matched_screen,monthly_pool,24,4.295283464,5.344686055,-25.72951226,37.17927609,33.33333333
full_history_original,1,real,Enrgy,matched_screen,monthly_pool,24,9.34643156,10.62566049,-15.4511127,67.04892226,37.5
full_history_original,1,real,Chems,matched_screen,monthly_pool,24,0.155486361,3.988742009,-13.73978456,35.29957389,50
full_history_original,1,real,BusEq,matched_screen,monthly_pool,24,35.32153931,26.17760559,-53.80734211,99.52521537,25
full_history_original,1,real,Telcm,matched_screen,monthly_pool,24,42.44698752,29.29006662,-42.07928897,71.37202057,20.83333333
full_history_original,1,real,Utils,matched_screen,monthly_pool,24,15.88736367,16.84589328,-7.311333451,45.37512742,4.166666667
full_history_original,1,real,Shops,matched_screen,monthly_pool,24,22.66376448,20.97760659,-28.00003438,52.26952526,12.5
full_history_original,1,real,Hlth,matched_screen,monthly_pool,24,25.2758288,22.45556049,-16.80621137,53.22158629,8.333333333
full_history_original,1,real,Money,matched_screen,monthly_pool,24,9.39438882,15.14503868,-18.01210071,59.18046065,20.83333333
full_history_original,1,real,Other,matched_screen,monthly_pool,24,-1.667149064,1.855250995,-31.40006043,37.83018647,54.16666667
full_history_original,1,real,BusEq minus MKT,matched_screen,monthly_pool,24,3.474039096,12.63857735,-35.15817331,63.31328748,33.33333333
full_history_original,1,real,Chems minus MKT,matched_screen,monthly_pool,24,-10.44735051,-9.550286227,-26.43085107,16.07724215,83.33333333
