spec,gap_months,cutoff,rank,date,horizon,asset,real_return
original_full_sample,24,2023-12-01,5,2001-02-01,1,MKT,-9.593684358382603
original_full_sample,24,2023-12-01,5,2001-02-01,1,CASH,1.9938420934441758
original_full_sample,24,2023-12-01,5,2001-02-01,1,GOLD,11.706265724418085
original_full_sample,24,2023-12-01,5,2001-02-01,1,Enrgy,-2.49205059987897
original_full_sample,24,2023-12-01,5,2001-02-01,1,BusEq,-25.759744433750132
original_full_sample,24,2023-12-01,5,2001-02-01,1,Telcm,-27.486965789816054
original_full_sample,24,2023-12-01,5,2001-02-01,3,MKT,-3.7017695291019614
original_full_sample,24,2023-12-01,5,2001-02-01,3,CASH,-0.14327893114186585
original_full_sample,24,2023-12-01,5,2001-02-01,3,GOLD,45.946245111142204
original_full_sample,24,2023-12-01,5,2001-02-01,3,Enrgy,10.799874239067142
original_full_sample,24,2023-12-01,5,2001-02-01,3,BusEq,-23.542724107439984
original_full_sample,24,2023-12-01,5,2001-02-01,3,Telcm,-38.31014553012236
original_full_sample,24,2023-12-01,5,2001-02-01,5,MKT,6.868658949673434
original_full_sample,24,2023-12-01,5,2001-02-01,5,CASH,-1.9471927287747604
original_full_sample,24,2023-12-01,5,2001-02-01,5,GOLD,87.4186025962651
original_full_sample,24,2023-12-01,5,2001-02-01,5,Enrgy,80.1554923491032
original_full_sample,24,2023-12-01,5,2001-02-01,5,BusEq,-22.836449634519163
original_full_sample,24,2023-12-01,5,2001-02-01,5,Telcm,-37.52424146606894
original_full_sample,24,2023-12-01,6,2018-06-01,1,MKT,7.083099393483594
original_full_sample,24,2023-12-01,6,2018-06-01,1,CASH,0.5761217302563182
original_full_sample,24,2023-12-01,6,2018-06-01,1,GOLD,4.2887189837558015
original_full_sample,24,2023-12-01,6,2018-06-01,1,Enrgy,-16.872216170532795
original_full_sample,24,2023-12-01,6,2018-06-01,1,BusEq,11.237831011467204
original_full_sample,24,2023-12-01,6,2018-06-01,1,Telcm,16.58211227196391
original_full_sample,24,2023-12-01,6,2018-06-01,3,MKT,57.95147368027615
original_full_sample,24,2023-12-01,6,2018-06-01,3,CASH,-3.8575755943975776
original_full_sample,24,2023-12-01,6,2018-06-01,3,GOLD,32.75219525527429
original_full_sample,24,2023-12-01,6,2018-06-01,3,Enrgy,-23.23901092102336
original_full_sample,24,2023-12-01,6,2018-06-01,3,BusEq,103.91512018851361
original_full_sample,24,2023-12-01,6,2018-06-01,3,Telcm,41.040446079065276
original_full_sample,24,2023-12-01,6,2018-06-01,5,MKT,42.219165396094404
original_full_sample,24,2023-12-01,6,2018-06-01,5,CASH,-11.278565966448085
original_full_sample,24,2023-12-01,6,2018-06-01,5,GOLD,25.173282176280566
original_full_sample,24,2023-12-01,6,2018-06-01,5,Enrgy,14.279983519873497
original_full_sample,24,2023-12-01,6,2018-06-01,5,BusEq,94.71550826224278
original_full_sample,24,2023-12-01,6,2018-06-01,5,Telcm,-13.198875993426451
original_full_sample,24,2023-12-01,7,2011-07-01,1,MKT,5.665204102420618
original_full_sample,24,2023-12-01,7,2011-07-01,1,CASH,-1.3683167790484507
original_full_sample,24,2023-12-01,7,2011-07-01,1,GOLD,-0.07154228256569528
original_full_sample,24,2023-12-01,7,2011-07-01,1,Enrgy,-8.06788209860857
original_full_sample,24,2023-12-01,7,2011-07-01,1,BusEq,6.268983202490452
original_full_sample,24,2023-12-01,7,2011-07-01,1,Telcm,21.71386569328748
original_full_sample,24,2023-12-01,7,2011-07-01,3,MKT,50.85667160107277
original_full_sample,24,2023-12-01,7,2011-07-01,3,CASH,-5.108838845285235
original_full_sample,24,2023-12-01,7,2011-07-01,3,GOLD,-20.969316288976714
original_full_sample,24,2023-12-01,7,2011-07-01,3,Enrgy,24.602445013969266
original_full_sample,24,2023-12-01,7,2011-07-01,3,BusEq,48.206200453533896
original_full_sample,24,2023-12-01,7,2011-07-01,3,Telcm,75.96425981446467
original_full_sample,24,2023-12-01,7,2011-07-01,5,MKT,73.0389407823139
original_full_sample,24,2023-12-01,7,2011-07-01,5,CASH,-5.934577779150885
original_full_sample,24,2023-12-01,7,2011-07-01,5,GOLD,-20.19913609377625
original_full_sample,24,2023-12-01,7,2011-07-01,5,Enrgy,-8.942236648565027
original_full_sample,24,2023-12-01,7,2011-07-01,5,BusEq,77.69403992740975
original_full_sample,24,2023-12-01,7,2011-07-01,5,Telcm,99.40306407706521
original_full_sample,24,2023-12-01,8,1996-02-01,1,MKT,18.604654126828457
original_full_sample,24,2023-12-01,8,1996-02-01,1,CASH,2.1222686496135124
original_full_sample,24,2023-12-01,8,1996-02-01,1,GOLD,-16.844116463999516
original_full_sample,24,2023-12-01,8,1996-02-01,1,Enrgy,21.141218254633507
original_full_sample,24,2023-12-01,8,1996-02-01,1,BusEq,17.85330680181525
original_full_sample,24,2023-12-01,8,1996-02-01,1,Telcm,2.479060508796871
original_full_sample,24,2023-12-01,8,1996-02-01,3,MKT,78.1209822178671
original_full_sample,24,2023-12-01,8,1996-02-01,3,CASH,9.194591522838213
original_full_sample,24,2023-12-01,8,1996-02-01,3,GOLD,-33.27134226425006
original_full_sample,24,2023-12-01,8,1996-02-01,3,Enrgy,29.91949602595203
original_full_sample,24,2023-12-01,8,1996-02-01,3,BusEq,127.244825363975
original_full_sample,24,2023-12-01,8,1996-02-01,3,Telcm,109.6159617379434
original_full_sample,24,2023-12-01,8,1996-02-01,5,MKT,73.13081304787414
original_full_sample,24,2023-12-01,8,1996-02-01,5,CASH,13.506486291213537
original_full_sample,24,2023-12-01,8,1996-02-01,5,GOLD,-42.99948032977993
original_full_sample,24,2023-12-01,8,1996-02-01,5,Enrgy,87.18473632078529
original_full_sample,24,2023-12-01,8,1996-02-01,5,BusEq,102.87674607905544
original_full_sample,24,2023-12-01,8,1996-02-01,5,Telcm,55.17773246865892
original_full_sample,24,2023-12-01,9,2003-03-01,1,MKT,36.806491531451854
original_full_sample,24,2023-12-01,9,2003-03-01,1,CASH,-0.7697321565214632
original_full_sample,24,2023-12-01,9,2003-03-01,1,GOLD,17.316762488380945
original_full_sample,24,2023-12-01,9,2003-03-01,1,Enrgy,29.71852302523581
original_full_sample,24,2023-12-01,9,2003-03-01,1,BusEq,46.1521270011102
original_full_sample,24,2023-12-01,9,2003-03-01,1,Telcm,26.40280433740245
original_full_sample,24,2023-12-01,9,2003-03-01,3,MKT,56.68390548301072
original_full_sample,24,2023-12-01,9,2003-03-01,3,CASH,-2.201448505368442
