indicator,horizon_months,event,signal_month,split,signal_value,alarm,outcome,first_event_month,lead_months
sahm_050,12,credit_onset_300,2001-07,holdout_2000plus,0.53,1,1,2001-09,2.0
sahm_050,12,credit_onset_300,2024-08,holdout_2000plus,0.53,1,0,,
curve_inverted,12,recession_onset,1966-10,training_pre2000,-0.1900000000000004,1,0,,
curve_inverted,12,recession_onset,1969-02,training_pre2000,-0.09999999999999964,1,1,1970-01,11.0
curve_inverted,12,recession_onset,1973-07,training_pre2000,-0.29000000000000004,1,1,1973-12,5.0
curve_inverted,12,recession_onset,1979-01,training_pre2000,-0.07000000000000028,1,0,,
curve_inverted,12,recession_onset,1980-12,training_pre2000,-1.0500000000000007,1,1,1981-08,8.0
curve_inverted,12,recession_onset,2000-09,holdout_2000plus,-0.2599999999999998,1,1,2001-04,7.0
curve_inverted,12,recession_onset,2006-09,holdout_2000plus,-0.08000000000000007,1,0,,
curve_inverted,12,recession_onset,2019-07,holdout_2000plus,-0.10000000000000009,1,1,2020-03,8.0
curve_inverted,12,recession_onset,2022-12,holdout_2000plus,-0.26000000000000023,1,0,,
curve_inverted,12,recession_present_or_onset,1966-10,training_pre2000,-0.1900000000000004,1,0,,
curve_inverted,12,recession_present_or_onset,1969-02,training_pre2000,-0.09999999999999964,1,1,1970-01,11.0
curve_inverted,12,recession_present_or_onset,1973-07,training_pre2000,-0.29000000000000004,1,1,1973-12,5.0
curve_inverted,12,recession_present_or_onset,1974-09,training_pre2000,-0.9200000000000017,1,1,1974-09,0.0
curve_inverted,12,recession_present_or_onset,1979-01,training_pre2000,-0.07000000000000028,1,0,,
curve_inverted,12,recession_present_or_onset,1980-12,training_pre2000,-1.0500000000000007,1,1,1981-08,8.0
curve_inverted,12,recession_present_or_onset,2000-09,holdout_2000plus,-0.2599999999999998,1,1,2001-04,7.0
curve_inverted,12,recession_present_or_onset,2006-09,holdout_2000plus,-0.08000000000000007,1,0,,
curve_inverted,12,recession_present_or_onset,2019-07,holdout_2000plus,-0.10000000000000009,1,1,2020-03,8.0
curve_inverted,12,recession_present_or_onset,2022-12,holdout_2000plus,-0.26000000000000023,1,0,,
curve_inverted,12,equity_entry_loss_20,1966-10,training_pre2000,-0.1900000000000004,1,0,,
curve_inverted,12,equity_entry_loss_20,1969-02,training_pre2000,-0.09999999999999964,1,0,,
curve_inverted,12,equity_entry_loss_20,1973-07,training_pre2000,-0.29000000000000004,1,1,1974-07,12.0
curve_inverted,12,equity_entry_loss_20,1974-09,training_pre2000,-0.9200000000000017,1,0,,
curve_inverted,12,equity_entry_loss_20,1979-01,training_pre2000,-0.07000000000000028,1,0,,
curve_inverted,12,equity_entry_loss_20,1980-12,training_pre2000,-1.0500000000000007,1,0,,
curve_inverted,12,equity_entry_loss_20,2000-09,holdout_2000plus,-0.2599999999999998,1,1,2001-09,12.0
curve_inverted,12,equity_entry_loss_20,2006-09,holdout_2000plus,-0.08000000000000007,1,0,,
curve_inverted,12,equity_entry_loss_20,2019-07,holdout_2000plus,-0.10000000000000009,1,0,,
curve_inverted,12,equity_entry_loss_20,2022-12,holdout_2000plus,-0.26000000000000023,1,0,,
curve_inverted,12,equity_peak_drawdown_20,1966-10,training_pre2000,-0.1900000000000004,1,0,,
curve_inverted,12,equity_peak_drawdown_20,1969-02,training_pre2000,-0.09999999999999964,1,0,,
curve_inverted,12,equity_peak_drawdown_20,1973-07,training_pre2000,-0.29000000000000004,1,1,1974-07,12.0
curve_inverted,12,equity_peak_drawdown_20,1974-09,training_pre2000,-0.9200000000000017,1,0,,
curve_inverted,12,equity_peak_drawdown_20,1979-01,training_pre2000,-0.07000000000000028,1,0,,
curve_inverted,12,equity_peak_drawdown_20,1980-12,training_pre2000,-1.0500000000000007,1,0,,
curve_inverted,12,equity_peak_drawdown_20,2000-09,holdout_2000plus,-0.2599999999999998,1,1,2001-09,12.0
curve_inverted,12,equity_peak_drawdown_20,2006-09,holdout_2000plus,-0.08000000000000007,1,0,,
curve_inverted,12,equity_peak_drawdown_20,2019-07,holdout_2000plus,-0.10000000000000009,1,0,,
curve_inverted,12,equity_peak_drawdown_20,2022-12,holdout_2000plus,-0.26000000000000023,1,0,,
curve_inverted,12,inflation_onset_400,1966-10,training_pre2000,-0.1900000000000004,1,0,,
curve_inverted,12,inflation_onset_400,2000-09,holdout_2000plus,-0.2599999999999998,1,0,,
curve_inverted,12,inflation_onset_400,2006-09,holdout_2000plus,-0.08000000000000007,1,0,,
curve_inverted,12,inflation_onset_400,2019-07,holdout_2000plus,-0.10000000000000009,1,0,,
curve_inverted,12,credit_onset_300,2000-09,holdout_2000plus,-0.2599999999999998,1,1,2001-03,6.0
curve_inverted,12,credit_onset_300,2006-09,holdout_2000plus,-0.08000000000000007,1,0,,
curve_inverted,12,credit_onset_300,2019-07,holdout_2000plus,-0.10000000000000009,1,1,2020-03,8.0
