indicator,horizon_months,event,split,eligible_months,first_signal_month,last_signal_month,unconditional_event_probability,nonalarm_event_probability,n_alarm_episodes,episode_hits,episode_false_alarms,episode_hit_rate,episode_false_alarm_fraction,false_alarm_wilson_95_low,false_alarm_wilson_95_high,lead_months_median,lead_months_min,lead_months_max,classical_fp_months,classical_tn_months,classical_fpr,classical_tp_months,classical_fn_months,monthly_sensitivity,note
curve_inverted,12,recession_onset,training_pre2000,460,1954-06,1998-12,0.1826086956521739,0.12941176470588237,5,3,2,0.6,0.4,0.1176182311592533,0.769280067791163,8.0,5.0,11.0,6,370,0.015957446808510637,29,55,0.34523809523809523,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,12,recession_onset,holdout_2000plus,280,2000-01,2025-08,0.12857142857142856,0.09282700421940929,4,2,2,0.5,0.5,0.15003570882017148,0.8499642911798285,7.5,7.0,8.0,29,215,0.11885245901639344,14,22,0.3888888888888889,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,12,recession_present_or_onset,all,859,1954-02,2025-08,0.26426076833527357,0.21653543307086615,10,6,4,0.6,0.4,0.16817758120350967,0.6873304525498135,7.5,0.0,11.0,35,597,0.055379746835443035,62,165,0.27312775330396477,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,12,recession_present_or_onset,training_pre2000,539,1954-02,1998-12,0.30241187384044527,0.23868312757201646,6,4,2,0.6666666666666666,0.3333333333333333,0.09676933255921683,0.7000116786584712,6.5,0.0,11.0,6,370,0.015957446808510637,47,116,0.2883435582822086,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,12,recession_present_or_onset,holdout_2000plus,308,2000-01,2025-08,0.2077922077922078,0.1856060606060606,4,2,2,0.5,0.5,0.15003570882017148,0.8499642911798285,7.5,7.0,8.0,29,215,0.11885245901639344,15,49,0.234375,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,24,credit_onset_300,all,401,1986-01,2024-08,0.3316708229426434,0.31767955801104975,4,3,1,0.75,0.25,0.045586062644636216,0.6993639475573634,8.0,6.0,17.0,21,247,0.07835820895522388,18,115,0.13533834586466165,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,24,credit_onset_300,training_pre2000,143,1986-01,1997-12,0.04895104895104895,0.04895104895104895,0,0,0,,,,,,,,0,136,0.0,0,7,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,24,credit_onset_300,holdout_2000plus,234,2000-01,2024-08,0.49572649572649574,0.5025641025641026,4,3,1,0.75,0.25,0.045586062644636216,0.6993639475573634,8.0,6.0,17.0,21,97,0.17796610169491525,18,98,0.15517241379310345,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,24,equity_entry_loss_20,all,847,1954-02,2024-08,0.12750885478158205,0.10742705570291777,8,3,5,0.375,0.625,0.30573785458380187,0.863158240538479,12.0,12.0,15.0,66,673,0.08930987821380243,27,81,0.25,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,24,equity_entry_loss_20,training_pre2000,527,1954-02,1997-12,0.09487666034155598,0.0759493670886076,4,2,2,0.5,0.5,0.15003570882017148,0.8499642911798285,13.5,12.0,15.0,39,438,0.08176100628930817,14,36,0.28,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,24,equity_entry_loss_20,holdout_2000plus,296,2000-01,2024-08,0.1858108108108108,0.1640625,4,1,3,0.25,0.75,0.3006360524426366,0.9544139373553637,12.0,12.0,12.0,27,214,0.11203319502074689,13,42,0.23636363636363636,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,24,equity_peak_drawdown_20,all,847,1954-02,2024-08,0.20425029515938606,0.1909814323607427,8,4,4,0.5,0.5,0.21521252682444186,0.7847874731755582,13.5,12.0,24.0,64,610,0.09495548961424333,29,144,0.1676300578034682,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,24,equity_peak_drawdown_20,training_pre2000,527,1954-02,1997-12,0.17647058823529413,0.16455696202531644,4,2,2,0.5,0.5,0.15003570882017148,0.8499642911798285,13.5,12.0,15.0,38,396,0.08755760368663594,15,78,0.16129032258064516,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
