signal_month,claims_rise_20pct,sahm_050,curve_inverted,baa_level_300,baa_widening_100,nfci_positive,inflation_surge,inflation_400,cpi_yoy_change_12m
1988-04,5.387205387205385,-0.07,2.669999999999999,2.07,-0.43999999999999995,0.136,3.832442067736186,3.832442067736186,0.9910121868929256
1988-05,5.639730639730645,-0.13,2.8100000000000005,1.93,-0.44000000000000017,0.251,3.9929015084294583,3.9929015084294583,0.31304870254169614
1988-06,3.7878787878787845,-0.03,2.83,2.16,-0.029999999999999805,0.259,3.9823008849557473,3.9823008849557473,0.31257611431354526
1988-07,9.680134680134689,-0.1,2.46,2.07,0.0,0.306,3.96475770925111,3.96475770925111,0.2170429012072317
1988-08,5.976430976430969,0.0,2.33,1.97,0.040000000000000036,0.433,4.130052724077338,4.130052724077338,0.20311208480794374
1988-09,2.5252525252525304,0.0,2.2,1.62,-0.54,0.401,4.111986001749779,4.111986001749779,-0.17633516613344558
1988-10,0.17196904557179593,0.03,1.7400000000000002,1.58,-0.48999999999999977,0.257,4.184829991281602,4.184829991281602,-0.08789728144567022
1988-11,1.1314186248912117,0.0,1.450000000000001,1.55,-0.41999999999999993,0.188,4.260869565217407,4.260869565217407,-0.09484731318549766
1988-12,1.653611836379465,-0.07,1.200000000000001,1.55,-0.07000000000000006,0.157,4.246100519930662,4.246100519930662,-0.28288498731572354
1989-01,0.870322019147074,-0.03,1.0399999999999991,1.56,-0.020000000000000018,0.143,4.4117647058823595,4.4117647058823595,0.07963474198344755
1989-02,5.836236933797911,0.03,0.8200000000000003,1.35,-0.19999999999999996,0.19,4.482758620689653,4.482758620689653,0.35349470686560913
1989-03,12.195121951219523,-0.07,0.6400000000000006,1.31,-0.24,0.412,4.647160068846801,4.647160068846801,0.7115607844103033
1989-04,7.66550522648084,-0.1,0.5399999999999991,1.55,-0.010000000000000009,0.72,4.892703862660941,4.892703862660941,1.060261794924755
1989-05,13.066202090592327,-0.03,0.5299999999999994,1.7,0.34999999999999987,0.622,5.034129692832767,5.034129692832767,1.0412281844033089
1989-06,16.027874564459932,0.03,0.4299999999999997,1.83,0.52,0.366,5.276595744680845,5.276595744680845,1.294294859725098
1989-07,18.37979094076656,0.13,0.129999999999999,1.99,0.43999999999999995,0.258,5.1694915254237195,5.1694915254237195,1.2047338161726096
1989-08,16.550522648083632,0.1,0.13999999999999968,1.7,0.0,0.21,5.063291139240511,5.063291139240511,0.9332384151631734
1989-09,17.682926829268286,0.1,0.20999999999999908,1.62,-0.20999999999999996,0.24,4.621848739495804,4.621848739495804,0.5098627377460252
1989-10,26.56794425087108,0.1,0.4399999999999995,1.84,-0.1499999999999999,0.382,4.435146443514637,4.435146443514637,0.2503164522330348
1989-11,17.33449477351916,0.13,0.3700000000000001,1.99,0.29000000000000004,0.303,4.587155963302747,4.587155963302747,0.3262863980853403
1989-12,24.73867595818815,0.2,0.17999999999999972,1.91,0.2899999999999998,0.103,4.655029093931851,4.655029093931851,0.4089285740011883
1990-01,25.78397212543555,0.13,0.20999999999999996,1.68,-0.16000000000000014,0.027,4.639602319801162,4.639602319801162,0.22783761391880208
1990-02,15.938511326860837,0.13,0.5700000000000012,1.68,-0.31000000000000005,0.066,5.198019801980203,5.198019801980203,0.7152611812905496
1990-03,11.245954692556626,0.13,0.7300000000000004,1.58,-0.32999999999999985,0.053,5.263157894736836,5.263157894736836,0.6159978258900356
1990-04,16.50563607085347,0.1,0.6899999999999995,1.5,-0.17999999999999994,0.079,5.237315875613735,5.237315875613735,0.3446120129527941
1990-05,9.056024558710662,0.13,1.0199999999999996,1.71,0.030000000000000027,0.112,4.711616571892785,4.711616571892785,-0.3225131209399823
1990-06,9.06344410876132,0.13,1.0199999999999996,1.79,0.20999999999999996,-0.005,4.365400161681476,4.365400161681476,-0.911195582999369
1990-07,10.876132930513593,0.03,0.75,1.77,0.27,-0.154,4.673650282030639,4.673650282030639,-0.49584124339308033
1990-08,16.08761329305135,0.07,0.8500000000000005,1.69,-0.020000000000000018,-0.072,4.819277108433728,4.819277108433728,-0.24401403080678286
1990-09,17.149220489977736,0.17,1.2999999999999998,1.94,0.1499999999999999,0.185,5.702811244979911,5.702811244979911,1.0809625054841066
1990-10,26.280623608017816,0.33,1.5300000000000002,2.13,0.3599999999999999,0.381,6.169871794871806,6.169871794871806,1.7347253513571692
1990-11,31.590574374079527,0.4,1.5500000000000007,2.27,0.5800000000000001,0.457,6.379585326953752,6.379585326953752,1.7924293636510047
1990-12,32.65454545454545,0.5,1.330000000000001,2.35,0.41000000000000014,0.472,6.195393169181873,6.195393169181873,1.5403640752500225
